"nr","lwage_1980","educ_1980","black_1980","hisp_1980","exper_1980","married_1980","union_1980","hours_1980","lwage_1981","educ_1981","black_1981","hisp_1981","exper_1981","married_1981","union_1981","hours_1981","lwage_1982","educ_1982","black_1982","hisp_1982","exper_1982","married_1982","union_1982","hours_1982","lwage_1983","educ_1983","black_1983","hisp_1983","exper_1983","married_1983","union_1983","hours_1983","lwage_1984","educ_1984","black_1984","hisp_1984","exper_1984","married_1984","union_1984","hours_1984","lwage_1985","educ_1985","black_1985","hisp_1985","exper_1985","married_1985","union_1985","hours_1985","lwage_1986","educ_1986","black_1986","hisp_1986","exper_1986","married_1986","union_1986","hours_1986","lwage_1987","educ_1987","black_1987","hisp_1987","exper_1987","married_1987","union_1987","hours_1987"
1318,1.059776,8,0,0,8,0,0,1840,1.467702,8,0,0,9,0,0,2028,1.339763,8,0,0,10,0,0,2560,1.294627,8,0,0,11,0,0,2600,1.251763,8,0,0,12,0,0,2600,1.332203,8,0,0,13,0,0,2318,1.285941,8,0,0,14,0,0,2288,1.286196,8,0,0,15,0,0,2288
1345,1.764698,12,0,0,4,0,0,1970,-0.7239189,12,0,0,5,1,0,2310,1.890843,12,0,0,6,1,0,2145,2.088315,12,0,0,7,1,0,2080,2.206275,12,0,0,8,1,0,2310,2.159004,12,0,0,9,1,0,2340,2.221297,12,0,0,10,1,0,2155,1.583854,12,0,0,11,1,0,3790
1397,1.770083,12,0,0,5,0,1,2080,1.601716,12,0,0,6,0,1,2080,1.547403,12,0,0,7,0,1,2080,1.786035,12,0,0,8,0,1,2080,1.682546,12,0,0,9,0,1,2080,1.720499,12,0,0,10,0,1,2080,1.799961,12,0,0,11,0,1,2080,1.760996,12,0,0,12,0,1,2080
1434,0.2062864,10,0,0,2,0,0,2880,1.12105,10,0,0,3,1,0,2086,1.086117,10,0,0,4,1,1,2284,1.268915,10,0,0,5,1,1,2080,1.099373,10,0,0,6,1,1,3028,1.345229,10,0,0,7,1,1,2640,1.900045,10,0,0,8,1,0,2080,1.515392,10,0,0,9,1,0,2820
1492,2.036455,13,0,0,4,0,0,1328,1.142368,13,0,0,5,0,0,2042,1.378536,13,0,0,6,0,0,2008,1.473754,13,0,0,7,1,0,2090,1.474907,13,0,0,8,0,0,2080,1.416282,13,0,0,9,1,0,2295,1.498433,13,0,0,10,1,0,2220,1.500853,13,0,0,11,1,0,2272
1496,1.178336,12,0,0,1,0,1,1144,1.087287,12,0,0,2,0,1,1184,0.0077342,12,0,0,3,0,0,3432,0.7967049,12,0,0,4,0,0,3850,1.037228,12,0,0,5,0,0,3470,1.208374,12,0,0,6,0,0,3229,1.204459,12,0,0,7,0,0,3773,1.85708,12,0,0,8,0,0,2685
1506,0.9743966,12,0,0,3,0,0,1670,2.465104,12,0,0,4,0,0,782,1.055036,12,0,0,5,0,0,2487,1.142765,12,0,0,6,0,0,2328,1.012747,12,0,0,7,0,0,2540,1.072815,12,0,0,8,0,0,2080,1.059985,12,0,0,9,0,0,2065,0.9269267,12,0,0,10,0,0,3088
1515,1.033779,10,0,0,2,0,0,2455,1.292641,10,0,0,3,0,1,2340,1.314466,10,0,0,4,0,0,2155,1.258215,10,0,0,5,0,0,2489,1.647278,10,0,0,6,0,0,2020,1.765962,10,0,0,7,0,0,2080,1.799961,10,0,0,8,0,0,2080,1.810687,10,0,0,9,1,0,2500
1520,1.375923,12,1,0,5,1,1,2459,1.353908,12,1,0,6,1,1,2479,1.349577,12,1,0,7,1,0,2496,1.351197,12,1,0,8,1,0,2457,1.370306,12,1,0,9,1,0,2487,1.401319,12,1,0,10,1,0,2496,1.580543,12,1,0,11,1,0,2454,1.635995,12,1,0,12,1,1,2481
1528,0.9788978,10,1,0,4,0,1,1995,1.241713,10,1,0,5,0,0,2080,1.25972,10,1,0,6,0,0,2080,1.032263,10,1,0,7,0,0,2080,1.196194,10,1,0,8,0,0,1480,1.168105,10,1,0,9,0,0,1996,1.366405,10,1,0,10,0,0,1520,1.398313,10,1,0,11,0,0,2360
1554,1.311867,12,0,0,2,0,0,2145,1.222665,12,0,0,3,1,0,2120,1.408867,12,0,0,4,1,1,2152,1.574341,12,0,0,5,1,0,2268,1.455859,12,0,0,6,1,0,2120,1.874825,12,0,0,7,1,0,2280,1.873946,12,0,0,8,1,0,2135,1.733726,12,0,0,9,1,0,3060
1575,1.576051,13,0,0,3,0,0,2196,1.742017,13,0,0,4,1,0,2102,1.778827,13,0,0,5,1,0,2285,1.871162,13,0,0,6,1,0,2135,1.656396,13,0,0,7,1,0,3603,1.78303,13,0,0,8,1,0,2840,1.594825,13,0,0,9,1,0,3360,1.995091,13,0,0,10,1,0,3465
1576,1.324701,11,0,0,2,1,0,2000,1.347074,11,0,0,3,1,0,2080,1.56267,11,0,0,4,1,0,2080,3.200689,11,0,0,5,1,0,2230,1.838301,11,0,0,6,1,0,2225,1.870449,11,0,0,7,0,0,2290,0.8257647,11,0,0,8,0,0,2030,1.844714,11,0,0,9,0,0,2215
1628,1.176473,12,0,0,3,0,0,2456,1.324259,12,0,0,4,0,0,2128,1.235966,12,0,0,5,0,0,1136,1.592994,12,0,0,6,0,0,2048,1.725366,12,0,0,7,0,0,2080,1.820029,12,0,0,8,0,0,2080,1.836141,12,0,0,9,0,0,2080,1.861079,12,0,0,10,0,0,2080
1641,2.111691,12,0,1,4,0,0,2260,2.170552,12,0,1,5,1,0,2191,2.134839,12,0,1,6,1,0,2223,2.07243,12,0,1,7,1,0,2196,2.040541,12,0,1,8,1,0,2272,2.018958,12,0,1,9,1,0,2288,2.167382,12,0,1,10,1,0,1213,1.873488,12,0,1,11,1,0,2250
1644,0.5609792,12,0,1,1,0,1,1515,1.546365,12,0,1,2,0,0,2045,1.531898,12,0,1,3,0,0,2080,1.591879,12,0,1,4,0,0,2080,1.685168,12,0,1,5,0,0,2080,1.648179,12,0,1,6,0,0,2080,1.565979,12,0,1,7,0,0,2490,2.068423,12,0,1,8,1,0,2415
1653,-0.3845819,15,0,0,2,0,1,1950,1.88607,15,0,0,3,0,1,1820,1.987385,15,0,0,4,0,1,2164,2.136661,15,0,0,5,0,1,2068,1.804234,15,0,0,6,0,1,2187,2.130121,15,0,0,7,0,0,2810,2.631413,15,0,0,8,0,0,2860,2.793118,15,0,0,9,0,0,2730
1654,1.624842,11,0,0,4,0,0,2074,1.616873,11,0,0,5,0,0,2144,1.429619,11,0,0,6,0,0,1080,1.73646,11,0,0,7,0,0,1800,1.716042,11,0,0,8,0,0,2080,1.809021,11,0,0,9,1,0,2080,1.799961,11,0,0,10,1,0,2080,2.183852,11,0,0,11,1,0,2080
1721,1.784472,11,0,1,5,0,0,2080,1.93486,11,0,1,6,0,1,2080,2.026976,11,0,1,7,0,0,2080,2.109822,11,0,1,8,0,0,2080,2.128834,11,0,1,9,0,0,2080,2.094466,11,0,1,10,0,1,2080,2.25672,11,0,1,11,0,0,2080,2.910901,11,0,1,12,0,0,2080
1742,1.461625,12,0,0,2,0,1,2770,1.682905,12,0,0,3,0,1,2230,1.872825,12,0,0,4,1,0,2080,2.043864,12,0,0,5,1,0,2080,2.350376,12,0,0,6,0,0,2000,2.387136,12,0,0,7,0,0,2080,2.410871,12,0,0,8,0,0,2080,2.480118,12,0,0,9,0,0,1920
1744,1.630321,11,0,0,2,0,1,2080,1.683546,11,0,0,3,0,1,2080,1.781017,11,0,0,4,0,1,1520,1.381639,11,0,0,5,0,1,1100,2.030624,11,0,0,6,0,1,1285,1.810698,11,0,0,7,0,1,1989,2.012398,11,0,0,8,0,1,2036,2.320033,11,0,0,9,0,1,1690
1763,0.6435003,11,0,1,1,0,0,1860,0.8979416,11,0,1,2,0,0,1760,1.278797,11,0,1,3,0,1,1800,1.335449,11,0,1,4,0,1,1536,1.5262,11,0,1,5,0,0,1064,1.434204,11,0,1,6,0,0,760,0.0603747,11,0,1,7,0,0,2164,1.393776,11,0,1,8,0,0,1296
1777,1.389388,15,0,0,1,0,0,1985,1.241713,15,0,0,2,0,0,2080,0.9859088,15,0,0,3,0,0,2665,1.144054,15,0,0,4,1,0,2790,1.654601,15,0,0,5,1,0,2540,1.648179,15,0,0,6,0,1,2600,1.33306,15,0,0,7,0,1,2270,1.738181,15,0,0,8,0,0,1680
1843,2.36429,15,0,0,2,1,0,2080,2.337618,15,0,0,3,1,0,2080,2.41644,15,0,0,4,1,0,2080,2.513867,15,0,0,5,1,0,2080,2.647627,15,0,0,6,1,0,2080,2.636213,15,0,0,7,1,0,2178,2.718755,15,0,0,8,1,0,2184,2.768744,15,0,0,9,1,0,2118
1891,0.937174,12,0,0,2,0,1,2080,1.01883,12,0,0,3,0,0,1704,1.119959,12,0,0,4,0,0,1472,0.8383898,12,0,0,5,0,0,2020,1.246248,12,0,0,6,0,0,2000,1.197978,12,0,0,7,0,0,2080,1.253418,12,0,0,8,0,0,2080,1.301463,12,0,0,9,0,0,2080
1895,1.654456,13,0,0,2,0,0,2115,1.589548,13,0,0,3,1,0,2285,1.748772,13,0,0,4,1,1,2080,1.870592,13,0,0,5,1,1,2080,2.05411,13,0,0,6,1,1,2080,1.903898,13,0,0,7,1,1,2416,2.083877,13,0,0,8,1,1,2184,2.282292,13,0,0,9,1,1,2080
1899,1.448,12,0,0,3,0,0,2080,1.241713,12,0,0,4,0,0,2080,1.380348,12,0,0,5,1,0,2080,0.9809696,12,0,0,6,1,0,2080,1.394864,12,0,0,7,1,0,2080,1.401319,12,0,0,8,1,0,2080,1.49458,12,0,0,9,1,0,2080,1.362458,12,0,0,10,1,0,2120
1925,1.005991,11,0,0,2,0,0,2752,1.63741,11,0,0,3,0,0,2008,1.570719,11,0,0,4,0,0,2501,1.757986,11,0,0,5,0,0,2265,1.90386,11,0,0,6,1,0,2188,1.833582,11,0,0,7,1,0,2484,1.985459,11,0,0,8,1,0,2228,1.948571,11,0,0,9,1,0,2904
1930,1.074008,11,0,0,2,0,0,907,0.966762,11,0,0,3,0,0,1217,1.324259,11,0,0,4,0,0,800,0.560658,11,0,0,5,0,0,1250,1.682546,11,0,0,6,0,0,2080,1.858744,11,0,0,7,0,0,2080,1.991017,11,0,0,8,0,0,2080,2.148761,11,0,0,9,1,0,2080
1961,1.166016,12,0,0,4,1,0,2912,1.862029,12,0,0,5,1,0,2610,1.850352,12,0,0,6,1,0,2600,1.834121,12,0,0,7,1,0,2682,1.928381,12,0,0,8,1,0,2745,1.85985,12,0,0,9,1,0,2630,2.009259,12,0,0,10,1,0,2220,2.298619,12,0,0,11,1,0,2430
1963,1.508624,11,0,0,2,0,0,3328,1.506138,11,0,0,3,0,0,3016,1.914808,11,0,0,4,1,0,1928,1.819909,11,0,0,5,1,0,2129,1.693128,11,0,0,6,1,0,2444,1.68208,11,0,0,7,1,0,2639,1.715822,11,0,0,8,1,0,2858,1.747149,11,0,0,9,1,0,3330
1979,2.023542,12,0,0,4,1,1,2040,2.004294,12,0,0,5,0,1,1880,1.86106,12,0,0,6,0,1,760,2.071156,12,0,0,7,0,1,1840,1.995277,12,0,0,8,1,1,2325,1.991969,12,0,0,9,1,1,1945,2.021504,12,0,0,10,1,1,2000,1.997938,12,0,0,11,1,1,2080
1988,-0.2473808,12,0,0,2,0,0,2040,2.283537,12,0,0,3,0,0,2120,1.2947,12,0,0,4,0,1,2060,1.150046,12,0,0,5,0,0,2080,1.571051,12,0,0,6,0,0,2180,-0.742699,12,0,0,7,0,0,2130,1.851255,12,0,0,8,0,0,2080,1.97287,12,0,0,9,0,0,2480
2000,1.904956,11,0,0,3,0,1,2160,1.879262,11,0,0,4,0,0,2260,1.746196,11,0,0,5,1,1,1987,2.093135,11,0,0,6,1,0,1620,1.844764,11,0,0,7,1,0,3316,1.678162,11,0,0,8,1,0,3154,1.765622,11,0,0,9,1,0,3229,1.759842,11,0,0,10,1,1,3288
2014,2.359059,12,0,0,2,0,1,920,1.923095,12,0,0,3,0,0,1520,1.404927,12,0,0,4,0,0,1476,0.7995499,12,0,0,5,0,0,2625,1.314082,12,0,0,6,0,0,2255,1.261348,12,0,0,7,0,0,2871,1.498433,12,0,0,8,0,0,2072,1.550129,12,0,0,9,0,0,1960
2025,1.483892,13,0,0,2,0,0,3010,1.233989,13,0,0,3,1,0,3610,1.532616,13,0,0,4,1,0,3393,1.658471,13,0,0,5,1,0,3336,1.816278,13,0,0,6,1,0,2502,2.015903,13,0,0,7,1,0,2880,2.356572,13,0,0,8,1,0,2949,1.316655,13,0,0,9,1,1,4268
2038,0.8943958,10,0,0,2,0,0,398,1.04335,10,0,0,3,0,0,620,1.34246,10,0,0,4,0,0,784,1.311011,10,0,0,5,0,0,787,1.012559,10,0,0,6,0,0,1067,1.329874,10,0,0,7,0,0,1680,1.838888,10,0,0,8,0,0,1790,2.217754,10,0,0,9,0,0,2080
2075,2.00568,12,0,0,5,1,1,2140,1.759997,12,0,0,6,1,1,1514,1.873217,12,0,0,7,1,1,2264,1.816977,12,0,0,8,1,0,1898,1.869561,12,0,0,9,1,0,2480,2.058447,12,0,0,10,1,0,2340,2.234247,12,0,0,11,1,0,2340,2.225134,12,0,0,12,1,0,2340
2101,2.007615,12,0,0,3,0,0,2080,2.263364,12,0,0,4,0,0,2080,2.24055,12,0,0,5,0,0,2080,2.348437,12,0,0,6,0,1,2080,2.488045,12,0,0,7,0,0,2080,2.468286,12,0,0,8,0,1,2290,2.346576,12,0,0,9,1,1,2535,2.490345,12,0,0,10,1,0,2270
2106,1.676566,12,0,0,4,0,1,1655,1.572434,12,0,0,5,0,1,2004,1.764704,12,0,0,6,0,1,2060,1.815022,12,0,0,7,1,1,2080,1.772159,12,0,0,8,1,1,2080,1.846004,12,0,0,9,1,1,2080,1.845355,12,0,0,10,1,1,2040,1.812289,12,0,0,11,1,1,2080
2107,1.2966,10,0,0,2,0,0,1210,1.61466,10,0,0,3,0,0,1910,1.250571,10,0,0,4,0,1,1098,1.491859,10,0,0,5,0,1,2463,1.890576,10,0,0,6,1,0,2080,1.943643,10,0,0,7,1,0,2080,2.054196,10,0,0,8,1,0,2080,2.035432,10,0,0,9,1,0,2080
2108,1.467418,12,0,0,2,0,0,1938,1.961658,12,0,0,3,0,1,2250,2.072073,12,0,0,4,1,1,2367,2.105471,12,0,0,5,1,1,2578,2.051931,12,0,0,6,1,1,3010,2.333261,12,0,0,7,1,1,2490,2.471034,12,0,0,8,1,1,2160,2.454143,12,0,0,9,1,1,2080
2147,-0.021081,11,0,0,2,0,0,1898,-0.1488456,11,0,0,3,0,0,1880,0.1806953,11,0,0,4,0,0,1820,-0.0361545,11,0,0,5,0,0,1892,0.3973481,11,0,0,6,0,0,1692,0.9726213,11,0,0,7,0,0,1916,0.5630944,11,0,0,8,0,0,1961,0.75907,11,0,0,9,0,0,1938
2157,1.462084,11,0,0,5,0,0,2256,0.3267932,11,0,0,6,1,0,4212,1.563962,11,0,0,7,1,0,2156,1.113193,11,0,0,8,1,0,2254,1.209603,11,0,0,9,1,1,2180,1.129472,11,0,0,10,1,0,2293,1.354514,11,0,0,11,1,0,1880,0.4922438,11,0,0,12,1,0,2920
2163,2.168267,12,0,0,4,1,1,2328,2.483169,12,0,0,5,1,1,1536,1.900224,12,0,0,6,1,1,2080,2.60296,12,0,0,7,1,1,1000,2.328792,12,0,0,8,1,1,2248,2.189776,12,0,0,9,1,1,2496,2.228549,12,0,0,10,1,1,2496,2.323114,12,0,0,11,1,1,2496
2173,1.342639,12,0,0,2,0,0,2080,1.29578,12,0,0,3,0,0,2080,1.233745,12,0,0,4,0,0,2080,1.204113,12,0,0,5,1,0,2080,1.307853,12,0,0,6,1,0,2080,1.47828,12,0,0,7,1,0,2080,1.458212,12,0,0,8,1,0,2080,1.64977,12,0,0,9,1,0,2080
2180,1.188704,10,0,0,2,0,0,1887,1.485739,10,0,0,3,0,0,1865,1.223409,10,0,0,4,0,0,1991,1.647449,10,0,0,5,0,0,2080,1.800329,10,0,0,6,1,0,2080,1.871322,10,0,0,7,1,0,2080,1.832206,10,0,0,8,1,0,2120,1.975562,10,0,0,9,1,0,2120
2183,1.387375,13,0,0,1,0,0,2210,1.464857,13,0,0,2,0,0,2496,1.273566,13,0,0,3,0,0,2104,1.443047,13,0,0,4,1,0,2500,1.631253,13,0,0,5,1,0,2600,1.948283,13,0,0,6,1,0,2600,2.062085,13,0,0,7,1,0,2190,2.127763,13,0,0,8,1,0,2200
2216,1.646451,12,0,0,1,1,0,4264,1.094869,12,0,0,2,1,0,3212,2.092914,12,0,0,3,0,0,2040,1.387718,12,0,0,4,0,0,3280,1.845065,12,0,0,5,1,1,2210,2.171427,12,0,0,6,1,0,2080,2.341966,12,0,0,7,0,0,1840,2.015888,12,0,0,8,1,0,3224
2220,1.957224,14,0,0,2,0,1,1250,1.727465,14,0,0,3,0,1,2275,2.058228,14,0,0,4,0,1,2400,2.390386,14,0,0,5,1,0,2340,2.429761,14,0,0,6,1,1,2340,2.629008,14,0,0,7,0,0,2340,2.342639,14,0,0,8,0,0,2545,2.400075,14,0,0,9,1,0,2600
2227,1.091325,12,0,0,3,1,0,2080,1.445718,12,0,0,4,1,0,1960,1.450553,12,0,0,5,1,1,2080,1.47855,12,0,0,6,1,0,2080,1.549015,12,0,0,7,1,0,2080,1.47828,12,0,0,8,1,0,2080,1.49458,12,0,0,9,0,0,2080,1.589145,12,0,0,10,1,1,2080
2264,1.056437,12,1,0,2,0,0,2000,1.029619,12,1,0,3,0,0,2000,1.381417,12,1,0,4,0,1,1224,1.437728,12,1,0,5,0,1,2080,1.618008,12,1,0,6,0,1,2080,-0.5937817,12,1,0,7,0,0,2080,1.640534,12,1,0,8,1,0,2080,1.64977,12,1,0,9,1,1,2080
2306,1.649739,9,0,0,3,0,0,1700,-0.4054651,9,0,0,4,1,0,480,1.005805,9,0,0,5,1,0,1650,1.152694,9,0,0,6,1,0,2305,1.421093,9,0,0,7,1,0,2195,1.273485,9,0,0,8,1,1,2080,1.23815,9,0,0,9,1,0,1920,1.706928,9,0,0,10,1,0,2080
2312,1.637382,13,0,0,2,1,0,2117,1.719439,13,0,0,3,1,0,2150,1.926892,13,0,0,4,1,0,2080,1.992132,13,0,0,5,1,0,2290,2.176565,13,0,0,6,0,0,2340,2.071103,13,0,0,7,0,0,2555,2.401301,13,0,0,8,0,0,2280,2.342917,13,0,0,9,0,0,2080
2314,2.035786,12,0,0,5,0,0,2080,1.929381,12,0,0,6,0,0,2440,1.8988,12,0,0,7,0,0,3040,2.088315,12,0,0,8,1,0,2080,2.023473,12,0,0,9,1,1,2080,2.011084,12,0,0,10,1,1,2080,2.074398,12,0,0,11,1,1,2080,2.055235,12,0,0,12,1,1,2080
2329,1.379098,14,0,0,1,1,0,1370,1.763172,14,0,0,2,1,0,2058,2.108061,14,0,0,3,1,0,1644,1.811385,14,0,0,4,1,0,1990,1.743171,14,0,0,5,1,0,2080,1.947357,14,0,0,6,1,0,2080,2.137336,14,0,0,7,1,0,2500,1.812896,14,0,0,8,1,0,3081
2335,1.567888,12,0,0,5,0,0,1845,1.539057,12,0,0,6,0,0,2060,1.285038,12,0,0,7,0,0,2080,1.437728,12,0,0,8,0,0,2080,1.762589,12,0,0,9,0,0,2040,1.514647,12,0,0,10,0,0,2080,1.49458,12,0,0,11,0,0,2080,1.301463,12,0,0,12,1,0,2080
2341,0.9020412,11,0,0,2,0,0,2298,1.07881,11,0,0,3,0,1,2448,1.562516,11,0,0,4,0,1,1970,1.844167,11,0,0,5,0,1,1824,1.90569,11,0,0,6,0,1,1976,2.062377,11,0,0,7,0,1,1976,2.166461,11,0,0,8,0,1,1935,2.360254,11,0,0,9,0,1,1924
2351,1.224856,11,1,0,2,0,0,2080,0.9346399,11,1,0,3,0,0,1728,1.105123,11,1,0,4,0,0,1992,1.440295,11,1,0,5,0,0,1556,1.208278,11,1,0,6,0,0,1880,0.9550316,11,1,0,7,0,0,2080,1.554003,11,1,0,8,0,0,280,1.494835,11,1,0,9,0,0,2000
2386,1.197268,10,0,1,2,0,1,1470,0.6295857,10,0,1,3,0,1,1023,0.5838037,10,0,1,4,0,0,1753,0.9254099,10,0,1,5,0,0,1490,1.112002,10,0,1,6,0,0,2070,1.075614,10,0,1,7,0,0,1982,1.476225,10,0,1,8,0,0,2058,1.528574,10,0,1,9,1,0,2348
2401,1.18669,12,0,0,5,1,1,2350,1.306252,12,0,0,6,1,1,1950,1.735641,12,0,0,7,1,1,1640,1.682248,12,0,0,8,1,0,2322,1.872978,12,0,0,9,1,1,2579,1.905983,12,0,0,10,1,1,2220,2.026608,12,0,0,11,0,1,1920,2.006702,12,0,0,12,0,0,2740
2413,2.185739,12,0,0,4,0,1,2228,2.190017,12,0,0,5,0,1,2104,2.189256,12,0,0,6,1,1,2080,2.102063,12,0,0,7,1,1,2230,2.143362,12,0,0,8,1,1,2460,2.113796,12,0,0,9,1,1,2285,2.17911,12,0,0,10,1,1,2098,2.282292,12,0,0,11,1,1,2080
2421,1.37874,12,0,0,3,0,0,2675,1.049822,12,0,0,4,0,0,3920,1.312425,12,0,0,5,0,0,3400,1.228378,12,0,0,6,1,0,3120,1.14355,12,0,0,7,1,0,3120,1.266993,12,0,0,8,1,0,3540,1.126232,12,0,0,9,1,0,4080,1.067848,12,0,0,10,1,0,4160
2445,1.462528,12,0,0,4,1,1,1640,1.547507,12,0,0,5,0,0,1532,1.335058,12,0,0,6,1,0,2671,1.219329,12,0,0,7,1,0,3364,1.478322,12,0,0,8,1,0,1754,2.021294,12,0,0,9,1,0,2220,1.734704,12,0,0,10,1,0,2676,1.78541,12,0,0,11,1,0,3205
2451,1.60215,12,0,0,2,1,0,2496,1.634756,12,0,0,3,1,0,2496,1.739294,12,0,0,4,1,0,2496,1.781121,12,0,0,5,1,0,2496,1.805087,12,0,0,6,1,0,2496,2.099657,12,0,0,7,1,0,2152,2.066472,12,0,0,8,1,0,2432,1.930072,12,0,0,9,1,0,2496
2494,0.3398261,13,0,0,4,0,0,1214,0.7121954,13,0,0,5,1,0,2080,1.144321,13,0,0,6,1,1,1676,0.9807901,13,0,0,7,1,0,2053,1.588791,13,0,0,8,1,1,2570,1.82145,13,0,0,9,1,1,2405,1.964918,13,0,0,10,1,1,2135,1.989131,13,0,0,11,1,1,2440
2508,1.918003,13,0,0,3,0,0,2080,1.847849,13,0,0,4,1,0,2080,1.973173,13,0,0,5,1,0,2080,2.101275,13,0,0,6,1,0,2080,2.045452,13,0,0,7,1,0,2080,2.110339,13,0,0,8,1,0,2080,2.087186,13,0,0,9,1,0,2300,2.076888,13,0,0,10,1,0,2235
2535,1.711226,12,0,0,4,1,1,2318,1.655594,12,0,0,5,1,1,2476,1.680934,12,0,0,6,1,0,2128,1.562671,12,0,0,7,1,0,2080,1.641203,12,0,0,8,1,0,2080,1.53585,12,0,0,9,1,0,2080,1.563573,12,0,0,10,1,1,2080,1.618998,12,0,0,11,1,0,2145
2540,0.9486405,10,0,0,2,0,0,2399,1.067386,10,0,0,3,0,0,2201,1.275469,10,0,0,4,0,1,1995,1.219726,10,0,0,5,0,0,1940,1.069442,10,0,0,6,0,0,2520,1.244688,10,0,0,7,1,0,2530,1.030274,10,0,0,8,1,0,2600,1.44161,10,0,0,9,1,0,2260
2685,1.840042,13,0,0,2,0,0,2080,1.798149,13,0,0,3,0,0,2080,2.098899,13,0,0,4,0,0,2120,2.267007,13,0,0,5,0,0,2080,2.369424,13,0,0,6,0,0,2080,2.396051,13,0,0,7,0,0,2080,2.452835,13,0,0,8,0,0,2080,2.577757,13,0,0,9,0,0,2080
2711,1.219387,12,0,0,2,1,1,2288,1.295189,12,0,0,3,1,0,2848,1.039369,12,0,0,4,0,1,3457,1.115516,12,0,0,5,0,0,3110,1.233051,12,0,0,6,0,1,2751,1.360497,12,0,0,7,1,0,2080,1.570747,12,0,0,8,0,0,2080,1.589145,12,0,0,9,0,1,2080
2718,2.141147,11,1,0,3,1,1,2080,2.156157,11,1,0,4,1,1,2408,2.262211,11,1,0,5,0,1,2192,2.285026,11,1,0,6,0,1,2080,2.436318,11,1,0,7,0,1,2080,2.309577,11,1,0,8,0,1,2080,2.35203,11,1,0,9,0,1,2080,2.313064,11,1,0,10,0,1,2080
2721,1.54331,9,0,0,6,1,0,2080,1.562185,9,0,0,7,1,0,2080,1.502951,9,0,0,8,1,1,1840,0.880942,9,0,0,9,1,0,3176,0.2311127,9,0,0,10,1,1,2220,1.200867,9,0,0,11,1,0,2440,0.9096462,9,0,0,12,1,0,2080,1.020701,9,0,0,13,1,0,1650
2733,0.7548524,12,1,0,4,0,0,2080,1.088662,12,1,0,5,0,0,2424,1.017159,12,1,0,6,1,1,2496,0.9897033,12,1,0,7,1,0,2496,1.010018,12,1,0,8,1,1,2496,1.053766,12,1,0,9,1,0,2120,0.9250137,12,1,0,10,1,0,2626,0.9024289,12,1,0,11,1,0,3100
2741,1.448,12,0,0,5,1,0,2080,1.347074,12,0,0,6,1,0,2080,1.285038,12,0,0,7,1,0,2080,1.350717,12,0,0,8,1,0,2080,1.435686,12,0,0,9,1,1,2080,1.440539,12,0,0,10,1,0,2080,1.628111,12,0,0,11,1,0,2080,1.678757,12,0,0,12,1,0,2080
2745,1.788325,12,0,0,3,0,0,1480,1.683546,12,0,0,4,0,1,2080,1.872825,12,0,0,5,0,0,2080,1.660872,12,0,0,6,1,0,2080,1.618008,12,0,0,7,1,0,2080,1.648179,12,0,0,8,1,0,2080,1.688736,12,0,0,9,0,0,2080,1.760996,12,0,0,10,0,0,2080
2751,1.60215,12,1,0,4,0,1,2496,1.570217,12,1,0,5,1,0,2496,1.667689,12,1,0,6,1,1,2128,1.354867,12,1,0,7,1,1,2448,1.51871,12,1,0,8,1,1,2144,1.514647,12,1,0,9,1,1,2080,1.745894,12,1,0,10,1,0,2080,1.952051,12,1,0,11,1,1,2080
2774,1.978628,14,0,0,3,1,0,2080,2.149075,14,0,0,4,1,0,2080,2.297708,14,0,0,5,1,0,1360,2.085755,14,0,0,6,1,0,680,2.186403,14,0,0,7,1,0,1728,2.011084,14,0,0,8,1,0,2080,2.033576,14,0,0,9,1,0,2080,1.907599,14,0,0,10,1,0,2080
2801,1.109545,10,0,0,2,0,1,1313,1.281934,10,0,0,3,1,0,2220,1.253878,10,0,0,4,1,0,2575,1.265068,10,0,0,5,0,0,2060,1.261333,10,0,0,6,0,0,2080,1.273736,10,0,0,7,1,0,2174,1.371682,10,0,0,8,1,0,2100,1.524297,10,0,0,9,1,1,2150
2813,0.6240821,13,0,0,2,1,0,806,1.261551,13,0,0,3,1,0,1586,1.627619,13,0,0,4,1,0,2215,1.62229,13,0,0,5,1,0,2378,1.620273,13,0,0,6,1,0,2352,1.595732,13,0,0,7,1,0,2466,1.717723,13,0,0,8,1,0,2496,1.631644,13,0,0,9,1,0,2741
2833,1.891335,12,0,0,2,1,0,2470,1.788906,12,0,0,3,1,0,2340,1.835085,12,0,0,4,1,0,2340,1.887906,12,0,0,5,1,0,2199,1.847006,12,0,0,6,1,0,2316,1.888944,12,0,0,7,1,0,2340,1.922811,12,0,0,8,1,0,2130,1.833491,12,0,0,9,1,0,2240
2839,1.554879,13,0,0,3,0,0,2080,1.647178,13,0,0,4,0,0,2080,1.686495,13,0,0,5,0,0,2080,1.640533,13,0,0,6,0,0,2080,1.743171,13,0,0,7,0,0,2080,2.026056,13,0,0,8,0,0,1960,1.946565,13,0,0,9,0,0,2080,1.973557,13,0,0,10,0,0,2080
2842,1.479252,13,0,0,4,0,0,504,1.825712,13,0,0,5,0,0,2191,1.691494,13,0,0,6,0,0,2355,1.808792,13,0,0,7,0,0,2392,1.982567,13,0,0,8,0,0,2215,1.983114,13,0,0,9,0,0,1860,2.826184,13,0,0,10,0,0,2040,2.411125,13,0,0,11,0,0,2000
